INFO main | Aguardando o carregamento da tela 'Relatórios > Relatório de Contas LALUR x Contas Contábeis'
INFO main | Aguardando o carregamento da tela 'Relatórios > Relatório de Contas LALUR x Contas Contábeis'
INFO main | Aguardando o carregamento da tela 'Relatórios > Relatório de Contas LALUR x Contas Contábeis'
INFO main | Aguardando o carregamento da tela 'Relatórios > Relatório de Contas LALUR x Contas Contábeis'
INFO main | Aguardando o carregamento da tela 'Relatórios > Relatório de Contas LALUR x Contas Contábeis'
INFO main | Aguardando o carregamento da tela 'Relatórios > Relatório de Contas LALUR x Contas Contábeis'
INFO main | Aguardando o carregamento da tela 'Relatórios > Relatório de Contas LALUR x Contas Contábeis'
INFO main | Aguardando o carregamento da tela 'Relatórios > Relatório de Contas LALUR x Contas Contábeis'
INFO main | Aguardando o carregamento da tela 'Relatórios > Relatório de Contas LALUR x Contas Contábeis'
INFO main | Tela 'Relatórios > Relatório de Contas LALUR x Contas Contábeis' acessada com sucesso!!
INFO main | #ALERTA# Tempo de Carregamento: 72118, Tempo Aceitável: 10000
INFO main | #########################################################################
INFO main | RELATÓRIO DE CONTAS LALUR x CONTAS CONTÁBEIS - TESTE INICIADO EM Wed Jul 30 15:54:52 BRT 2014
INFO main | #########################################################################
INFO main | ----------------------------------------------------
INFO main | URL: http://166.78.0.215:8092/taxbr-web/pages/index.jsf
INFO main | USUARIO: ADM
INFO main | SENHA: adm@2014
INFO main | NAVEGADOR: chrome
INFO main | TESTE: RELATÓRIO DE CONTAS LALUR x CONTAS CONTÁBEIS
INFO main | ----------------------------------------------------
INFO main | Acessando aplicação no endereco http://166.78.0.215:8092/taxbr-web/pages/index.jsf, utilizando o navegador: chrome
INFO main | Aguardando tela de login ser carregada | Tentativa 1 de 101
INFO main | Tela carregada com sucesso!
INFO main | ----------------------------------------------------
INFO main | ACESSANDO A APLICACAO
INFO main | ----------------------------------------------------
INFO main | Digitando usuario: ADM
INFO main | Digitando senha: adm@2014
INFO main | Clicando no botão 'Entrar'
INFO main | Aguardando o acesso a aplicacao...
INFO main | Aplicacao acessada com sucesso!
INFO main | Acessando o módulo ONESOURCE ECF...
INFO main | Aguardando o carregamento da tela RELATÓRIO DE CONTAS LALUR x CONTAS CONTÁBEIS
INFO main | Tela RELATÓRIO DE CONTAS LALUR x CONTAS CONTÁBEIS acessada com sucesso!!
INFO main | #OK# Tempo de Carregamento: 3246, Tempo Aceitável: 10000
INFO main | Aguardando o carregamento da tela RELATÓRIO DE CONTAS LALUR x CONTAS CONTÁBEIS
INFO main | Aguardando o carregamento da tela RELATÓRIO DE CONTAS LALUR x CONTAS CONTÁBEIS
INFO main | Aguardando o carregamento da tela RELATÓRIO DE CONTAS LALUR x CONTAS CONTÁBEIS
INFO main | Aguardando o carregamento da tela RELATÓRIO DE CONTAS LALUR x CONTAS CONTÁBEIS
INFO main | Aguardando o carregamento da tela RELATÓRIO DE CONTAS LALUR x CONTAS CONTÁBEIS
INFO main | Aguardando o carregamento da tela RELATÓRIO DE CONTAS LALUR x CONTAS CONTÁBEIS
INFO main | Aguardando o carregamento da tela RELATÓRIO DE CONTAS LALUR x CONTAS CONTÁBEIS
INFO main | Tela RELATÓRIO DE CONTAS LALUR x CONTAS CONTÁBEIS acessada com sucesso!!
INFO main | #OK# Tempo de Carregamento: 7128, Tempo Aceitável: 10000
INFO main | Aguardando o carregamento da tela Home
INFO main | Tela Home acessada com sucesso!!
INFO main | #OK# Tempo de Carregamento: 1037, Tempo Aceitável: 10000
INFO main | Acessando a Tela...
INFO main | Relatórios >
INFO main | Relatório de Contas LALUR x Contas Contábeis
INFO main | Aguardando o carregamento da tela 'Relatórios > Relatório de Contas LALUR x Contas Contábeis'
INFO main | Aguardando o carregamento da tela 'Relatórios > Relatório de Contas LALUR x Contas Contábeis'
INFO main | Aguardando o carregamento da tela 'Relatórios > Relatório de Contas LALUR x Contas Contábeis'
INFO main | Aguardando o carregamento da tela 'Relatórios > Relatório de Contas LALUR x Contas Contábeis'
INFO main | Aguardando o carregamento da tela 'Relatórios > Relatório de Contas LALUR x Contas Contábeis'
INFO main | Aguardando o carregamento da tela 'Relatórios > Relatório de Contas LALUR x Contas Contábeis'
INFO main | Aguardando o carregamento da tela 'Relatórios > Relatório de Contas LALUR x Contas Contábeis'
INFO main | Aguardando o carregamento da tela 'Relatórios > Relatório de Contas LALUR x Contas Contábeis'
INFO main | Aguardando o carregamento da tela 'Relatórios > Relatório de Contas LALUR x Contas Contábeis'
INFO main | Aguardando o carregamento da tela 'Relatórios > Relatório de Contas LALUR x Contas Contábeis'
INFO main | Aguardando o carregamento da tela 'Relatórios > Relatório de Contas LALUR x Contas Contábeis'
INFO main | Aguardando o carregamento da tela 'Relatórios > Relatório de Contas LALUR x Contas Contábeis'
INFO main | Aguardando o carregamento da tela 'Relatórios > Relatório de Contas LALUR x Contas Contábeis'
INFO main | Aguardando o carregamento da tela 'Relatórios > Relatório de Contas LALUR x Contas Contábeis'
INFO main | Aguardando o carregamento da tela 'Relatórios > Relatório de Contas LALUR x Contas Contábeis'
INFO main | Aguardando o carregamento da tela 'Relatórios > Relatório de Contas LALUR x Contas Contábeis'
INFO main | Aguardando o carregamento da tela 'Relatórios > Relatório de Contas LALUR x Contas Contábeis'
INFO main | Aguardando o carregamento da tela 'Relatórios > Relatório de Contas LALUR x Contas Contábeis'
INFO main | Aguardando o carregamento da tela 'Relatórios > Relatório de Contas LALUR x Contas Contábeis'
INFO main | Aguardando o carregamento da tela 'Relatórios > Relatório de Contas LALUR x Contas Contábeis'
INFO main | Aguardando o carregamento da tela 'Relatórios > Relatório de Contas LALUR x Contas Contábeis'
INFO main | Aguardando o carregamento da tela 'Relatórios > Relatório de Contas LALUR x Contas Contábeis'
INFO main | Aguardando o carregamento da tela 'Relatórios > Relatório de Contas LALUR x Contas Contábeis'
INFO main | Aguardando o carregamento da tela 'Relatórios > Relatório de Contas LALUR x Contas Contábeis'
INFO main | Aguardando o carregamento da tela 'Relatórios > Relatório de Contas LALUR x Contas Contábeis'
INFO main | Aguardando o carregamento da tela 'Relatórios > Relatório de Contas LALUR x Contas Contábeis'
INFO main | Aguardando o carregamento da tela 'Relatórios > Relatório de Contas LALUR x Contas Contábeis'
INFO main | Aguardando o carregamento da tela 'Relatórios > Relatório de Contas LALUR x Contas Contábeis'
INFO main | Aguardando o carregamento da tela 'Relatórios > Relatório de Contas LALUR x Contas Contábeis'
INFO main | Aguardando o carregamento da tela 'Relatórios > Relatório de Contas LALUR x Contas Contábeis'
INFO main | Aguardando o carregamento da tela 'Relatórios > Relatório de Contas LALUR x Contas Contábeis'
INFO main | Aguardando o carregamento da tela 'Relatórios > Relatório de Contas LALUR x Contas Contábeis'
INFO main | Aguardando o carregamento da tela 'Relatórios > Relatório de Contas LALUR x Contas Contábeis'
INFO main | Aguardando o carregamento da tela 'Relatórios > Relatório de Contas LALUR x Contas Contábeis'
INFO main | Aguardando o carregamento da tela 'Relatórios > Relatório de Contas LALUR x Contas Contábeis'
INFO main | Aguardando o carregamento da tela 'Relatórios > Relatório de Contas LALUR x Contas Contábeis'
INFO main | Aguardando o carregamento da tela 'Relatórios > Relatório de Contas LALUR x Contas Contábeis'
INFO main | Aguardando o carregamento da tela 'Relatórios > Relatório de Contas LALUR x Contas Contábeis'
